// Ukrainian langfile for Bombus - mobile jabber client
// (c) zalex <zlex@ukr.net>, 2006
// (с) maj <maj@jabbus.org>, 2007. Thanks to voffk, dimiork, v0id

xmlLang	uk
My vCard	Особиста vCard
transports	транспорти
New Account	Новий акаунт
self-contact	свої контакти
vCard	vCard
Set Subject	Встановити тему
Tools	Інструменти
Port	Порт
Connect	З'єднатися
history -	Iсторiя -
Are You sure want to discard 	Ви дiйсно хочете понизити у 
 from OWNER to 	 право OWNER до 
Modify affiliation	Змiна членства


Clear	Очистити
Ask subscription	Запросити пiдписку
Grant subscription	Дозволити пiдписку
Invite to conference	Запросити до конференції
Reason	Причина
You have been invited to 	Ви були запрошенi у 
 is inviting You to 	 запросив Вас у 
Visitors are not allowed to send messages to all occupants	Гостi не можуть вiдправляти повiдомлення у спiльний чат
Unaffiliate	Вiдняти членство
Grant Moderator	Надати право модератора
Revoke Moderator	Вiдняти право модератора
Grant Admin	Надати право адмiна
Grant Ownership	Надати право власника

room presences	статуси у конференцiї

 is now known as 	 змiнив нiк на 
 was banned 	 заборонили входити у кiмнату 
 was kicked 	 вигнали з кiмнати 
 has been kicked because room became members-only	 вигнаний, оскiльки кiмната тепер тiльки для членiв
 has left the channel	 вийшов із конференції
 has joined the channel as 	 зайшов як 
 and 	 i 
 is now 	 змiнив статус на 

Participants	Учасники
Abc	Абв
autofocus	автофокус
Grant Membership	Дати членство
Are You sure want to clear messagelist?	Стерти всi повiдомлення?
Google token request	Аутентифікація в Google
Features	Можливості
Show password	Показати пароль
No client version available	Версія клієнта недоступна
Message limit	Кількість повідомлень
Opening stream	Відкриття потоку
Using compression	Включення компресії
Authenticating	Аутентифікація
Resource binding	Призначення ресурсу
Initiating session	Створення сесії
Text wrapping	Перенесення тексту
by chars	по буквах
by words	по словах
Info	Інфо
Reply	Відповісти
Send status	Встановити статус
Are you sure want to BAN this person?	Заборонити входити в кiмнату?
No reason	Без причини
Recent	Історія введення
Shot	Зняти
Select file	Вибрати файл
Load Photo	Завантажити фото
Clear Photo	Очистити фото
Camera	Камера
Hide finished	Приховати завершені
Transfer tasks	Менеджер передачі файлів
Are you sure want to delete this message?	Видалити дане повідомлення?
New conference	Нова конференція
Root	Корінь диска
Decline	Відхилити
Authorize new contacts	Автоматична авторизація
[auto-subscribe]	[автопідписка]
Keep-Alive	Тип Keep-Alive
 has been unaffiliated and kicked from members-only room	 був позбавлений повноважень і вигнаний, оскільки конференція тільки для членів
Minutes before away	Таймер автостатусу (хвилини)
Automatic Away	Автозміна статусу
disabled	вимкнено
keyblock / flip	блок / фліп
idle	бездіяльність
Add autojoin bookmark	Додати закладку з автовхідом

//2007-04-12	
//role	роль
//affiliation	повноваження
//visitor	гість
//participant	учасник
//moderator	модератор
//owner	власник
//admin	адміністратор
//member	член конференції

online	доступний
free for chat	готовий поговорити
away	відсутній
not available	недоступний
invisible	невидимий
do not disturb	не турбувати
offline	відключений
Join marked (auto)	Підключитися до відмічених для автовходу
shared platform info	показувати модель пристрою
delivery events	звіти про доставку
drop all	не приймати нічого
receive messages	приймати повідомлення
messages & presences	повідомлення і присутність
normal	звичайний
small	дрібний
large	великий
File Transfers	Передача файлів
Auto	Автоматично
All signals	Всі сигнали
Vibra	Вібрація
No signals	Без сигналів
 (default)	 (за умовчанням)

Message collapse limit	Згортати повідомлення більше
This user wants to subscribe to your presence	Запит підписки на присутність
You are now authorized	Ви отримали підписку
Your authorization has been removed!	Ваша підписка була видалена!
Change nickname	Змінити нiк
 has changed subject to: 	 змінив(а) тему на
Send file	Відправити файл
To: 	Кому:
File	Файл
Description	Опис
Path	Шлях
Accept file	Прийняти файл
Save to	Зберегти як
Sender:	Відправник:
size:	розмір:
Automatic subscription	Автопідписка
Ask me	Запитати мене
Drop subscription	Відхиляти
Deny subscription	Забороняти
Search	Пошук
Register	Реєстрація
Color theme	Кольорова тема
Memory:	Пам'ять:
Free=	Вільно=
Total=	Всього=
Versions	Версії
Install	Встановити
Available versions	Доступні версії
