// Český překlad Bombus by jenda.69 (c) 2007 (http://bombus.jendamusic.net)
// Upravený překlad "(c) 2006 Jindřich Skácel"; přidána diakritika, upřesněny některé názvy
// Pokud by jste našli nějakou chybu, překlep, chybějící diakritiku, nepřeložené slovo, pište na: jenda.69@gmail.com
xmlLang cz
langfile	Česky
Visitors are not allowed to send messages to all occupants	Hosté nemohou posílat zprávy všem obyvatelům
Unaffiliate	Odloučit
Grant Moderator	Dát moderátora
Revoke Moderator	Odebrat moderátora
Grant Admin	Dát admina
Grant Ownership	Dát vlastnictví

room presences	Chování místnosti

 is now known as 	 je teď známý jako 
 was banned 	 byl zabanován 
 was kicked 	 byl vykopnut 
 has been kicked because room became members-only	 byl vykopnut, protože místnost se stává "pouze pro členy"
 has left the channel	 opustil kanál
 has joined the channel as 	 se připojil ke kanálu jako 
 and 	 a 
 is now 	 je teď 

//1063
autofocus	Automaticky označovat
Grant Membership	Přidělit členství
Are You sure want to clear messagelist?	Opravdu chcete vymazat seznam zpráv?
Google token request	Google převzal žádost
SASL login	SASL přihlášení
Features	Vlastnosti
Show password	Zobrazit heslo
No client version available	Není k dispozici verze klienta
Message limit	Limit zpráv
Opening stream	Otevírám stream
Using compression	Používám kompresi
Authenticating	Ověřování
Resource binding	Vázání zdrojů
Initiating session	Spouštím relaci
Text wrapping	Zalamování textu
by chars	po znaku
by words	po slově
Info	Info
Reply	Odpovědět
Send status	Poslat status
Are you sure want to BAN this person?	Opravdu chcete zablokovat tuto osobu?
No reason	Bez důvodu
Recent	Poslední
Shot	Vyfotit
Select file	Vybrat soubor
Load Photo	Otevřít fotku
Clear Photo	Smazat fotku
Camera	Fotoaparát
Hide finished	Skrýt dokončené
Transfer tasks	Manažer přenosů
Are you sure want to delete this message?	Opravdu chcete smazat tuto zprávu?
New conference	Nová konference
Root	Kořenový adresář
Decline	Odmítnout
authorize new contacts	Autorizovat nové kontakty
[auto-subscribe]	[automaticky potvrzovat]
Keep-Alive	Udržování spojení
 has been unaffiliated and kicked from members-only room	 byl odmítnut a vykopnut z místnosti jen pro členy
Minutes before away	Minut nečinnosti
Automatic Away	Automaticky nepřítomen
disabled	deaktivováno
keyblock / flip	zamknutí/zaklapnutí
idle	nečinný
Add autojoin bookmark	Přidat samopřipojovací záložku

//2007-08-19
online	připojen
free for chat	chci si psát
away	pryč
not available	nejsem k dispozici
invisible	neviditelný
do not disturb	nerušit
offline	odpojen
Join marked (auto)	Připojení označeno (auto)
shared platform info	informace o platformě
delivery events	doručenky
drop all	pustit všechno
receive messages	přijmout zprávy
messages & presences	zprávy a příchody
normal	normální
small	malé
large	velké
File Transfers	Přenosy souborů
Auto	Automaticky
All signals	Všechno
Vibra	Vibrace
Sound	Zvuk
No signals	Bez oznámení
 (default)	 (výchozí)
